iter	Passed	Remaining
0	108	108207
1	172	86036
2	239	79464
3	303	75497
4	378	75264
5	450	74564
6	528	74923
7	629	78054
8	705	77656
9	773	76560
10	863	77658
11	978	80571
12	1054	80089
13	1119	78844
14	1176	77242
15	1232	75793
16	1288	74521
17	1361	74296
18	1742	89945
19	1867	91516
20	1951	90974
21	2038	90641
22	2106	89484
23	2171	88306
24	2231	87025
25	2293	85901
26	2351	84731
27	2468	85691
28	2546	85250
29	2655	85872
30	2718	84973
31	2779	84077
32	2854	83649
33	2922	83023
34	2997	82632
35	3058	81888
36	3118	81171
37	3183	80598
38	3246	80001
39	3310	79446
40	3372	78876
41	3439	78445
42	3505	78017
43	3568	77525
44	3633	77113
45	3728	77324
46	3805	77161
47	3894	77243
48	3976	77167
49	4049	76933
50	4114	76564
51	4171	76047
52	4236	75695
53	4301	75361
54	4372	75121
55	4428	74659
56	4488	74264
57	4551	73926
58	4621	73703
59	4685	73402
60	4756	73216
61	4820	72926
62	4898	72855
63	4970	72688
64	5036	72452
65	5097	72142
66	5158	71832
67	5221	71562
68	5279	71230
69	5335	70886
70	5394	70578
71	5455	70312
72	5514	70024
73	5579	69816
74	5646	69636
75	5727	69630
76	5794	69457
77	5883	69542
78	6028	70277
79	6112	70299
80	6185	70180
81	6258	70059
82	6326	69898
83	6390	69686
84	6472	69671
85	6590	70040
86	6682	70124
87	6759	70056
88	6837	69987
89	6907	69839
90	6970	69628
91	7033	69414
92	7092	69170
93	7153	68945
94	7213	68717
95	7275	68508
96	7340	68330
97	7411	68215
98	7472	68006
99	7533	67804
100	7597	67621
101	7665	67488
102	7729	67317
103	7791	67126
104	7852	66930
105	7920	66802
106	7988	66668
107	8049	66486
108	8108	66281
109	8171	66113
110	8237	65973
111	8300	65809
112	8366	65675
113	8431	65532
114	8497	65392
115	8559	65231
116	8622	65077
117	8687	64934
118	8745	64745
119	8805	64572
120	8871	64444
121	8950	64412
122	9010	64246
123	9067	64057
124	9128	63901
125	9197	63795
126	9260	63659
127	9321	63504
128	9379	63328
129	9444	63208
130	9506	63062
131	9564	62894
132	9624	62737
133	9688	62616
134	9752	62485
135	9817	62369
136	9880	62239
137	9944	62118
138	10005	61974
139	10066	61840
140	10125	61685
141	10188	61559
142	10245	61402
143	10302	61244
144	10366	61124
145	10432	61023
146	10491	60879
147	10549	60728
148	10610	60603
149	10680	60523
150	10745	60415
151	10805	60285
152	10872	60188
153	10953	60171
154	11011	60028
155	11069	59891
156	11128	59752
157	11196	59668
158	11259	59552
159	11329	59479
160	11389	59352
161	11450	59233
162	11513	59119
163	11575	59007
164	11643	58923
165	11711	58839
166	11768	58699
167	11837	58625
168	11902	58524
169	11965	58417
170	12021	58282
171	12079	58149
172	12136	58019
173	12199	57914
174	12257	57787
175	12315	57656
176	12370	57521
177	12435	57428
178	12496	57314
179	12557	57204
180	12613	57073
181	12679	56988
182	12749	56918
183	12816	56840
184	12886	56771
185	12959	56717
186	13019	56603
187	13098	56573
188	13162	56480
189	13222	56369
190	13281	56256
191	13350	56183
192	13409	56070
193	13470	55965
194	13532	55865
195	13598	55781
196	13660	55680
197	13721	55579
198	13786	55490
199	13862	55450
200	13928	55366
201	13991	55273
202	14048	55156
203	14108	55049
204	14168	54944
205	14225	54830
206	14283	54719
207	14350	54640
208	14408	54530
209	14463	54411
210	14524	54311
211	14586	54216
212	14644	54108
213	14702	54002
214	14758	53885
215	14832	53837
216	14892	53736
217	14950	53629
218	15006	53515
219	15070	53431
220	15131	53337
